mapping_row_id,paper_id,check_id,claim_id,claim_ids,supporting_claim_ids,target_ids,item_type,scientific_role,source_ref,scientific_object,disposition,disposition_source,reason_codes,next_action,direct_cause_categories,root_cause_categories,code_fault_statuses,fidelity_status,fidelity_score,fidelity_min_score,fidelity_target_scores,fidelity_missing_target_ids
MAP-0020,0709.0548,classical_conditional_mutual_information,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"p. 2, second paragraph",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0031,0709.0548,classical_states_zero_discord,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,paragraph after Eq. (4),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0010,0709.0548,conditional_entropy,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,Eqs. (14)-(21),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0024,0709.0548,conditional_entropy_concavity_bound,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,paragraph below Eq. (2),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0029,0709.0548,discord_equivalent_definitions,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,Eq. (4),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0015,0709.0548,discord_first_signature,CLM_T014,CLM_T014,,T014,quantitative_claim,,raw/source/DQCdiscordPRL.tex:452-464,,reproduced,item_authoritative_state,scientific_evidence_accepted,none,target_scope_incomplete,scope_definition_gap,not_found_after_checks,not_comparable,,,{},T014
MAP-0044,0709.0548,discord_includes_entanglement_and_separable_nonclassicality,CLM_DISCORD_SCOPE,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T001 | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_T001 | CLM_T004,T001 | T004,method_claim,,"p. 1, introduction",,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T001 | T004
MAP-0033,0709.0548,discord_marginal_entropy_upper_bound,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,paragraph after Eq. (4) and footnote [16],,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0030,0709.0548,discord_nonnegativity,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,paragraph after Eq. (4),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0038,0709.0548,discord_upper_bound_footnote_proof,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,footnote [16],,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0014,0709.0548,doherty_extension_claim,CLM_T009,CLM_T009,,T009,quantitative_claim,,Conclusion and cited private communication,,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0008,0709.0548,dqc1_all_stage_separability,CLM_T011,CLM_T011,,T011,quantitative_claim,,DQC1 circuit discussion before Eq. (9),The control qubit remains separable from the mixed register throughout the computation.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T011
MAP-0037,0709.0548,dqc1_classical_simulation_evidence,CLM_T015,CLM_T015,,T015,method_claim,,"p. 2, trace-estimation paragraph citing Ref. [8]",,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0007,0709.0548,dqc1_control_register_separability,CLM_T006,CLM_T006,,T006,quantitative_claim,,Text surrounding Eq. (9),The control-register split is separable while the final state remains discordant.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T006
MAP-0047,0709.0548,dqc1_fixed_accuracy_trial_complexity,CLM_T013,CLM_T013,,T013,method_claim,,"p. 2, trace-estimation performance paragraph",,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T013
MAP-0046,0709.0548,dqc1_sampling_overhead,CLM_T013,CLM_T013,,T013,quantitative_claim,,"p. 2, paragraph below the DQC1 circuit",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T013
MAP-0009,0709.0548,dqc1_spectrum,CLM_T003,CLM_T003,,T003,quantitative_claim,,Eqs. (10)-(13),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T003
MAP-0006,0709.0548,dqc1_state_and_readout,CLM_T002,CLM_T002,,T002,quantitative_claim,,Eq. (9) and normalized-trace readout text,DQC1 block state yields the normalized-trace readout.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T002
MAP-0005,0709.0548,eq1_state,CLM_T001,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T001,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T001,quantitative_claim,,Eq. (1),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T001
MAP-0012,0709.0548,finite_root_placement,CLM_T010,CLM_T010,,T010,quantitative_claim,,Typical-unitary paragraph before Eq. (21),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T010
MAP-0013,0709.0548,grouped_control_partitions,CLM_T008,CLM_T008,,T008,quantitative_claim,,Entanglement discussion before Eq. (9),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,target_scope_incomplete,reproduction_method_gap,not_found_after_checks,not_comparable,,,{},T008
MAP-0002,0709.0548,main_fig1_analytic_typical_discord,CLM_T007,CLM_T007,,T007,figure_series,,"Main Fig. 1, solid analytic curve",Typical-unitary analytic discord is positive for alpha greater than zero.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T007
MAP-0001,0709.0548,main_fig1_finite_ensemble,CLM_T005,CLM_T005,,T005,figure_series,,"Main Fig. 1, dashed finite-n ensemble",Finite-n 500-unitary average discord curve.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0003,0709.0548,main_fig1_pseudorandom_convergence,CLM_T012,CLM_T012,,T012,figure_series,,"Main Fig. 1, pseudorandom-unitary comparison",Independent pseudorandom-circuit ensemble converges toward the typical-unitary curve.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0023,0709.0548,measurement_conditional_entropy,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,paragraph below Eq. (2),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0025,0709.0548,measurement_dependent_classical_correlation,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,Eq. (3),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0043,0709.0548,mixed_state_bounded_entanglement_ppt_speedup,CLM_T015,CLM_T015,,T015,method_claim,,"p. 1 citing Refs. [11,12]",,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0042,0709.0548,mixed_state_exponential_speedup_evidence,CLM_T015,CLM_T015,,T015,method_claim,,p. 1 citing Ref. [11],,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0017,0709.0548,mutual_information_entropy_identity,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"p. 2, first paragraph",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0026,0709.0548,nonselective_measurement_zero_discord,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,paragraph below Eq. (3),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0027,0709.0548,optimized_classical_correlation,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,paragraph before Eq. (4),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0028,0709.0548,optimized_conditional_entropy,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,paragraph before Eq. (4),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0032,0709.0548,positive_discord_nonclassicality,CLM_DISCORD_NONCLASSICALITY,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T001 | CLM_T004,CLM_DISCORD_SCOPE | CLM_T001 | CLM_T004,T001 | T004,method_claim,,paragraph after Eq. (4),,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T001 | T004
MAP-0021,0709.0548,projective_conditional_state,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"Eq. (2), first equality",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0022,0709.0548,projective_outcome_probability,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"Eq. (2), second equality",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0016,0709.0548,pseudorandom_generator,CLM_T012,CLM_T012,,T012,method_claim,,Main Fig. 1 caption,,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0036,0709.0548,pure_state_discord_equals_entanglement,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,"p. 2, pure-state paragraph",,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0040,0709.0548,pure_state_entanglement_speedup_theorem,CLM_T015,CLM_T015,,T015,method_claim,,"p. 1 citing Refs. [5,7,9,10]",,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0034,0709.0548,pure_state_joint_and_conditional_entropy,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,method_claim,,"p. 2, pure-state paragraph",,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0035,0709.0548,pure_state_marginal_entropy_identity,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"p. 2, pure-state paragraph",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0045,0709.0548,qubit_discord_true_measure_claim,CLM_T015,CLM_T015,,T015,method_claim,,conclusion citing Ref. [21],,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,indispensable_input_unavailable,publication_underspecified,not_applicable,not_applicable_nonreproduced,,,{},
MAP-0018,0709.0548,shannon_entropy_definition,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"p. 2, first paragraph",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0011,0709.0548,typical_discord,CLM_T007,CLM_T007,,T007,quantitative_claim,,Eqs. (22)-(23),,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T007
MAP-0019,0709.0548,von_neumann_entropy_definition,CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE | CLM_T004,CLM_DISCORD_NONCLASSICALITY | CLM_DISCORD_SCOPE,T004,quantitative_claim,,"p. 2, first paragraph",,reproduced,target_projection,scientific_evidence_accepted,none,,,,not_comparable,,,{},T004
MAP-0075,0911.0556,claim_general_quantum_doob_mapping,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T011,quantitative_claim,theoretical_numerical,"Main text Eqs. (6)-(7) and following paragraph, PDF p. 4",The dominant left eigenmatrix constructs a trace-preserving Lindblad dynamics whose typical jump trajectories realize the original s-ensemble.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T011
MAP-0077,0911.0556,claim_three_level_inactive_doob_realization,CLM_THREE_LEVEL_DOOB,CLM_THREE_LEVEL_DOOB,,T012,quantitative_claim,theoretical_numerical,"Main text final paragraph, three-level application citing unpublished Ref. [18], PDF p. 4",For s>0 the mapped three-level dynamics contains an additional strong laser on the |1>-|2> transition that induces an effective detuning and suppresses emission.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T012
MAP-0076,0911.0556,claim_two_level_doob_rate_scaling,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T011,quantitative_claim,theoretical_numerical,"Main text after Eq. (7), two-level application, PDF p. 4",At kappa=4 Omega the mapped two-level dynamics rescales all rates by exp(-s/3) and time by exp(s/3).,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,not_comparable,,,{},T011
MAP-0050,0911.0556,fig1_b_activity,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T001,figure_series,theoretical_numerical,"Main Fig. 1(B), blue curve, PDF p. 2",Biased two-level photon activity k(s).,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.6753,93.6753,"{""T001"":93.6753}",
MAP-0051,0911.0556,fig1_b_mandel,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T001,figure_series,theoretical_numerical,"Main Fig. 1(B), red curve, PDF p. 2",Scale-invariant two-level Mandel parameter Q(s)=-2/3.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.6753,93.6753,"{""T001"":93.6753}",
MAP-0049,0911.0556,fig1_b_theta,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T001,figure_series,theoretical_numerical,"Main Fig. 1(B), black curve, PDF p. 2",Two-level scaled cumulant generating function theta(s).,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.6753,93.6753,"{""T001"":93.6753}",
MAP-0053,0911.0556,fig1_c_poisson_comparator,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T002,figure_series,theoretical_numerical,"Main Fig. 1(C), gray curve, PDF p. 2",Poisson rate-function comparator for the two-level photon count.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,94.9667,94.9667,"{""T002"":94.9667}",
MAP-0052,0911.0556,fig1_c_rate_function,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T002,figure_series,theoretical_numerical,"Main Fig. 1(C), black curve, PDF p. 2",Two-level large-deviation rate function phi(k).,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,94.9667,94.9667,"{""T002"":94.9667}",
MAP-0054,0911.0556,fig1_d_activity_2,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T003,figure_series,theoretical_numerical,"Main Fig. 1(D), square-marked record k=2, PDF p. 2",High-activity theoretical quantum-jump event record with k=2.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,81.7673,81.7673,"{""T003"":81.7673}",
MAP-0055,0911.0556,fig1_d_activity_2_over_3,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T003,figure_series,theoretical_numerical,"Main Fig. 1(D), circle-marked record k=2/3, PDF p. 2",Typical theoretical quantum-jump event record with k=2/3.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,81.7673,81.7673,"{""T003"":81.7673}",
MAP-0056,0911.0556,fig1_d_activity_2_over_9,CLM_TWO_LEVEL,CLM_TWO_LEVEL,,T003,figure_series,theoretical_numerical,"Main Fig. 1(D), triangle-marked record k=2/9, PDF p. 2",Low-activity theoretical quantum-jump event record with k=2/9.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,81.7673,81.7673,"{""T003"":81.7673}",
MAP-0058,0911.0556,fig2_b_three_level_theta,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T004,figure_series,theoretical_numerical,"Main Fig. 2(B), black curve, PDF p. 3",Three-level scaled cumulant generating function across the active-inactive crossover.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.9161,93.9161,"{""T004"":93.9161}",
MAP-0059,0911.0556,fig2_b_two_level_theta_comparator,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T004,figure_series,theoretical_numerical,"Main Fig. 2(B), gray curve, PDF p. 3",Two-level theta(s) comparator for the active branch.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.9161,93.9161,"{""T004"":93.9161}",
MAP-0060,0911.0556,fig2_c_three_level_activity,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T005,figure_series,theoretical_numerical,"Main Fig. 2(C), blue curve, PDF p. 3",Three-level photon activity k(s) through the crossover.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.6511,93.6511,"{""T005"":93.6511}",
MAP-0061,0911.0556,fig2_c_three_level_mandel,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T005,figure_series,theoretical_numerical,"Main Fig. 2(C), red curve, PDF p. 3",Three-level Mandel parameter and crossover fluctuation peak.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.6511,93.6511,"{""T005"":93.6511}",
MAP-0062,0911.0556,fig2_c_two_level_activity_comparator,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T005,figure_series,theoretical_numerical,"Main Fig. 2(C), gray curve, PDF p. 3",Two-level activity comparator for the active branch.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,93.6511,93.6511,"{""T005"":93.6511}",
MAP-0064,0911.0556,fig2_d_poisson_comparator,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T006,figure_series,theoretical_numerical,"Main Fig. 2(D), gray curve, PDF p. 3",Poisson rate-function comparator exposing the fat and thin tails.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,95.0582,95.0582,"{""T006"":95.0582}",
MAP-0063,0911.0556,fig2_d_rate_function,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T006,figure_series,theoretical_numerical,"Main Fig. 2(D), black curve, PDF p. 3",Three-level large-deviation rate function with asymmetric tails.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,95.0582,95.0582,"{""T006"":95.0582}",
MAP-0066,0911.0556,fig2_e_active_record,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T007,figure_series,theoretical_numerical,"Main Fig. 2(E), square-marked record k=0.74, PDF p. 3",Active theoretical blinking-window event record.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,95.5147,95.5147,"{""T007"":95.5147}",
MAP-0065,0911.0556,fig2_e_inactive_record,CLM_THREE_LEVEL,CLM_THREE_LEVEL,,T007,figure_series,theoretical_numerical,"Main Fig. 2(E), triangle-marked record k=0.02, PDF p. 3",Inactive theoretical blinking-window event record.,reproduced,item_authoritative_state,scientific_evidence_accepted,none,,,,measured,95.5147,95.5147,"{""T007"":95.5147}",
MAP-0069,0911.0556,fig3_b_activity_alpha_1_2pi,CLM_MICROMASER,CLM_MICROMASER,,T008,figure_series,theoretical_numerical,"Main Fig. 3(B), blue curve, PDF p. 4",Micromaser activity k(s)/10 at alpha=1.2pi.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0068,0911.0556,fig3_b_theta_alpha_1_2pi,CLM_MICROMASER,CLM_MICROMASER,,T008,figure_series,theoretical_numerical,"Main Fig. 3(B), black curve, PDF p. 4",Micromaser theta(s) at alpha=1.2pi.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0071,0911.0556,fig3_c_activity_alpha_2pi,CLM_MICROMASER,CLM_MICROMASER,,T009,figure_series,theoretical_numerical,"Main Fig. 3(C), blue curve, PDF p. 4",Micromaser discontinuous activity k(s)/10 at alpha=2pi.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0070,0911.0556,fig3_c_theta_alpha_2pi,CLM_MICROMASER,CLM_MICROMASER,,T009,figure_series,theoretical_numerical,"Main Fig. 3(C), black curve, PDF p. 4",Micromaser theta(s) at alpha=2pi and its first-order singularity.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0072,0911.0556,fig3_d_active_distribution,CLM_MICROMASER,CLM_MICROMASER,,T010,figure_series,theoretical_numerical,"Main Fig. 3(D), upper distribution labelled s=-0.05, PDF p. 4",Active-phase biased cavity photon-number distribution.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
MAP-0073,0911.0556,fig3_d_coexistence_distribution,CLM_MICROMASER,CLM_MICROMASER,,T010,figure_series,theoretical_numerical,"Main Fig. 3(D), middle distribution s=0, PDF p. 4",Stationary coexistence cavity photon-number distribution.,externally_blocked,item_authoritative_state,at_least_one_required_target_externally_blocked,none,parameter_values_unavailable,publication_underspecified,not_found_after_checks,not_applicable_nonreproduced,,,{},
