paper_id,claim_id,statement,authored_claim_status,formula_refs,claim_kind,checks_total,finalized_checks,reproduced_checks,externally_blocked_checks,attempted_not_reproduced_checks,pending_checks,final_resolution_rate,successful_reproduction_rate,objective_blocker_rate,attempted_not_reproduced_rate,pending_rate,fidelity_scored_checks,fidelity_unscored_reproduced_checks,fidelity_evidence_coverage,conditional_fidelity,reproduction_degree_observed,reproduction_degree_lower_bound,reproduction_degree_upper_bound,numeric_fidelity_eligible,verification_status,verification_reason,formula_refs_resolved,formula_refs_total,passed_formula_checks
0709.0548,CLM_DISCORD_NONCLASSICALITY,"Nonzero quantum discord certifies nonclassical correlations, including for the separable state in Eq. (1)",active,EQ001 | EQ002 | EQ005 | EQ006,numerical_claim,24,24,24,0,0,0,100.0,100.0,0.0,0.0,0.0,0,24,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_DISCORD_SCOPE,Quantum discord covers entanglement and separable nonclassical correlations rather than entanglement alone,active,EQ001 | EQ002 | EQ005 | EQ006,numerical_claim,24,24,24,0,0,0,100.0,100.0,0.0,0.0,0.0,0,24,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T001,Eq. (1) separable state has analytic nonzero discord,active,EQ001 | EQ002,numerical_claim,3,3,3,0,0,0,100.0,100.0,0.0,0.0,0.0,0,3,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T002,DQC1 block state and normalized-trace readout,active,EQ003,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T003,DQC1 spectra and entropy identities,active,EQ004,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T004,Projective conditional entropy from unitary eigenphases,active,EQ005 | EQ006,numerical_claim,23,23,23,0,0,0,100.0,100.0,0.0,0.0,0.0,0,23,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T005,Main Fig. 1 finite-n 500-unitary curve,active,EQ006 | EQ007,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
0709.0548,CLM_T006,Control-register split is separable yet discordant,active,EQ002 | EQ003 | EQ008,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T007,Typical discord is positive for alpha greater than zero,active,EQ007,numerical_claim,2,2,2,0,0,0,100.0,100.0,0.0,0.0,0.0,0,2,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T008,Grouped-control bipartition witness landscape,active,EQ009,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T009,First symmetric-extension test cited without certificate,active,EQ010,numerical_claim,1,1,0,1,0,0,100.0,0.0,100.0,0.0,0.0,0,0,,,0.0,0.0,0.0,,,,,,
0709.0548,CLM_T010,Finite root grids and measurement-angle dependence,active,EQ005 | EQ011,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
0709.0548,CLM_T011,All-stage explicit control-register separability,active,EQ003 | EQ008,numerical_claim,1,1,1,0,0,0,100.0,100.0,0.0,0.0,0.0,0,1,0.0,,,0.0,100.0,,,,,,
