paper_id,claim_id,statement,claim_kind,verification_status,verification_reason,formula_refs,formula_refs_resolved,formula_refs_total,passed_formula_checks,numeric_fidelity_eligible
10.1103-PRXQuantum.6.010331,CLM004,Public gate controls generate independently calculable protocol response functions.,pure_theory,verified_by_formula_or_invariant,all formula refs resolve with verified gates and a passed independent check,EQ009,1,1,1,false
10.1103-PRXQuantum.6.010331,CLM005,"The spin-lock, many-body, cavity-filter, and SSB proxy mechanisms follow from explicit response formulas.",pure_theory,partial_formula_verification,"non-verified formula gates: EQ011, EQ013",EQ010 | EQ011 | EQ012 | EQ013,4,4,4,false
1706.07435,CLM001,"For every separable two-dimensional non-Hermitian band, the LL, LR, RL, and RR Berry curvatures may differ locally but their Chern integrals are equal.",pure_theory,verified_by_formula_or_invariant,all formula refs resolve with verified gates and a passed independent check,EQC001,1,1,1,false
1903.05124,CLM001,Accessible projective-measurement outcomes improve the scrambling decoupling threshold from gamma<1-2p to the tight gamma<1-p condition.,pure_theory,verified_by_formula_or_invariant,all formula refs resolve with verified gates and a passed independent check,EQC001 | EQC002,2,2,2,false
1903.05124,CLM002,"For the degradable unitary-plus-measurement channel, quantum capacity equals the input-optimized entropy conditioned on accessible measurement outcomes.",pure_theory,verified_by_formula_or_invariant,all formula refs resolve with verified gates and a passed independent check,EQC009,1,1,1,false
2005.12667,CLM_APPENDICES,"Appendices A-C close the derivation chain for circuit quantization, dispersive transformations and input-output conventions.",pure_theory,partial_formula_verification,no explicit passed formula/invariant check,APPA001_A010 | APPB001_B032 | APPC001_C020,3,3,0,false
2402.14814,CLM_IMAGING,The printed imaging resolutions define the four Gaussian fit kernels in Supplement Fig. S6.,pure_theory,partial_formula_verification,no explicit passed formula/invariant check,EQ010,1,1,0,false
2504.08598,CLM001,One atom per graph vertex and one same-parity Rydberg level per color implement the Potts-like minimum vertex graph coloring objective without a kN-qubit one-hot embedding.,pure_theory,verified_by_formula_or_invariant,all formula refs resolve with verified gates and a passed independent check,EQ001 | EQ002,2,2,5,false
2504.08598,CLM006,A real-device or Pasqal cross-validation of the same multilevel Hamiltonian has not been performed.,experimental_or_external_validation,excluded_from_numeric_fidelity,The Claim explicitly records an unperformed real-device validation; no scientific-region pixel or theoretical numerical Fidelity is defined.,,0,0,0,false
2511.11394,CLM002,A normalized four-direction finite-q projector mismatch converges to the integrated quantum metric and has a Chern lower bound.,pure_theory,partial_formula_verification,no explicit passed formula/invariant check,EQC001 | EQC002 | EQC003 | EQC004 | EQC005,5,5,0,false
2511.11394,CLM004,The published momentum-local Ohmic matrix-space bath does not measure the finite-q quantum metric and its complete two-band vertex strength is texture blind.,pure_theory,partial_formula_verification,no explicit passed formula/invariant check,EQC008 | EQC009 | EQC013,3,3,0,false
2511.11394,CLM005,A separate scalar density probe recovers the Chern-bounded metric only after frequency-resolved kernel calibration; raw activity has no topology floor.,pure_theory,partial_formula_verification,no explicit passed formula/invariant check,EQC010 | EQC011 | EQC012 | EQC014,4,4,0,false
2605.02873,CLM006,"TRY's advantage over an ideal downstream sorter is architectural, while a symmetric single near-focus intensity plane can suppress first-order defocus response.",meta_or_architectural_claim,excluded_from_numeric_fidelity,The architectural comparison is not a standalone numerical observable in the reproduction scope.,,0,0,0,false
2606.30255,CLM-EXPERIMENT,The measured coincidence data show Wigner-inequality violations with reported 30-56 sigma significance.,experimental_measurement,excluded_from_numeric_fidelity,The Claim reports measured coincidence data that cannot be independently regenerated from theory-only reproduction code.,,0,0,0,false
PhysRevLett.132.113001,CLM_METROLOGY,The measured 2S ionization energy yields the reported 1S binding and Rydberg frequencies.,experimental_measurement,excluded_from_numeric_fidelity,The reported frequency is experimental; checking downstream arithmetic does not reproduce the measurement itself and therefore cannot create numerical Fidelity.,EQ008 | EQ009,0,2,0,false
